instruction,intent,key,group,split
help me cancelling purchase {{Order Number}},cancel_order,help me cancelling purchase {{order number}},help me cancelling purchase placeholder,train
have a question about cancelling order {{Order Number}},cancel_order,have a question about cancelling order {{order number}},have a question about cancelling order placeholder,train
"I ordered some item, cancel purchase {{Order Number}}",cancel_order,"i ordered some item, cancel purchase {{order number}}",i ordered some item cancel purchase placeholder,train
"I can't afford order {{Order Number}}, help me cancelling it",cancel_order,"i can't afford order {{order number}}, help me cancelling it",i can t afford order placeholder help me cancelling it,train
I try to cancel purchase {{Order Number}},cancel_order,i try to cancel purchase {{order number}},i try to cancel purchase placeholder,train
"I cannot pay for the last purchase I have made, cancel it",cancel_order,"i cannot pay for the last purchase i have made, cancel it",i cannot pay for the last purchase i have made cancel it,train
could you help me cancel purchase {{Order Number}}?,cancel_order,could you help me cancel purchase {{order number}}?,could you help me cancel purchase placeholder,train
I want to cancle purchase {{Order Number}},cancel_order,i want to cancle purchase {{order number}},i want to cancle purchase placeholder,train
help me to cancel my  last goddamn purchase,cancel_order,help me to cancel my last goddamn purchase,help me to cancel my last goddamn purchase,train
I have a problem witrh cancelling purchase {{Order Number}},cancel_order,i have a problem witrh cancelling purchase {{order number}},i have a problem witrh cancelling purchase placeholder,train
can  uhelp me canceling order {{Order Number}},cancel_order,can uhelp me canceling order {{order number}},can uhelp me canceling order placeholder,train
problems with canceling purchase {{Order Number}},cancel_order,problems with canceling purchase {{order number}},problems with canceling purchase placeholder,train
I need assistancde cancelling order {{Order Number}},cancel_order,i need assistancde cancelling order {{order number}},i need assistancde cancelling order placeholder,train
"I bought some item, cancel order {{Order Number}}",cancel_order,"i bought some item, cancel order {{order number}}",i bought some item cancel order placeholder,train
need help with cancelling order {{Order Number}},cancel_order,need help with cancelling order {{order number}},need help with cancelling order placeholder,train
"I can't pay for this item, can I cancel order {{Order Number}}?",cancel_order,"i can't pay for this item, can i cancel order {{order number}}?",i can t pay for this item can i cancel order placeholder,train
I need help cacneling order {{Order Number}},cancel_order,i need help cacneling order {{order number}},i need help cacneling order placeholder,train
where could I cancel purchase {{Order Number}}?,cancel_order,where could i cancel purchase {{order number}}?,where could i cancel purchase placeholder,train
i bought some damn item help to cancep order {{Order Number}},cancel_order,i bought some damn item help to cancep order {{order number}},i bought some damn item help to cancep order placeholder,train
"I have got to cancel purchase {{Order Number}}, help me",cancel_order,"i have got to cancel purchase {{order number}}, help me",i have got to cancel purchase placeholder help me,train
whag do i need to do to cancel order {{Order Number}},cancel_order,whag do i need to do to cancel order {{order number}},whag do i need to do to cancel order placeholder,train
cancelling order,cancel_order,cancelling order,cancelling order,train
what do I have to do to cancel order {{Order Number}}?,cancel_order,what do i have to do to cancel order {{order number}}?,what do i have to do to cancel order placeholder,train
i want help to cancel purchase {{Order Number}},cancel_order,i want help to cancel purchase {{order number}},i want help to cancel purchase placeholder,train
how do i cancel order {{Order Number}},cancel_order,how do i cancel order {{order number}},how do i cancel order placeholder,train
"I bought some articles, help me to cancel order {{Order Number}}",cancel_order,"i bought some articles, help me to cancel order {{order number}}",i bought some articles help me to cancel order placeholder,train
where to cancel purchase {{Order Number}},cancel_order,where to cancel purchase {{order number}},where to cancel purchase placeholder,train
I want help cancellkng purchase {{Order Number}},cancel_order,i want help cancellkng purchase {{order number}},i want help cancellkng purchase placeholder,train
I need help with cancelling order {{Order Number}},cancel_order,i need help with cancelling order {{order number}},i need help with cancelling order placeholder,train
I want assistance to cancel order {{Order Number}},cancel_order,i want assistance to cancel order {{order number}},i want assistance to cancel order placeholder,train
need assistance cancelling purchase {{Order Number}},cancel_order,need assistance cancelling purchase {{order number}},need assistance cancelling purchase placeholder,train
where can I cancel order {{Order Number}}?,cancel_order,where can i cancel order {{order number}}?,where can i cancel order placeholder,train
have problems with canceling order {{Order Number}},cancel_order,have problems with canceling order {{order number}},have problems with canceling order placeholder,train
I can no longer pay for order {{Order Number}},cancel_order,i can no longer pay for order {{order number}},i can no longer pay for order placeholder,train
"I would like to cancel purchase {{Order Number}}, I need help",cancel_order,"i would like to cancel purchase {{order number}}, i need help",i would like to cancel purchase placeholder i need help,train
help with cancelling purchase {{Order Number}},cancel_order,help with cancelling purchase {{order number}},help with cancelling purchase placeholder,train
"I can no longer afford order {{Order Number}}, help me cancel it",cancel_order,"i can no longer afford order {{order number}}, help me cancel it",i can no longer afford order placeholder help me cancel it,train
need assistance canceling order {{Order Number}},cancel_order,need assistance canceling order {{order number}},need assistance canceling order placeholder,train
I have problems with cancelling purchase {{Order Number}},cancel_order,i have problems with cancelling purchase {{order number}},i have problems with cancelling purchase placeholder,train
I want assistance canceling purchase {{Order Number}},cancel_order,i want assistance canceling purchase {{order number}},i want assistance canceling purchase placeholder,train
how could icancel purchase {{Order Number}},cancel_order,how could icancel purchase {{order number}},how could icancel purchase placeholder,train
i need assistance canceling order {{Order Number}},cancel_order,i need assistance canceling order {{order number}},i need assistance canceling order placeholder,train
i do not knwo how to cancel order {{Order Number}},cancel_order,i do not knwo how to cancel order {{order number}},i do not knwo how to cancel order placeholder,train
"I have ordered some article, cancel purchase {{Order Number}}",cancel_order,"i have ordered some article, cancel purchase {{order number}}",i have ordered some article cancel purchase placeholder,train
have problems with canceling purchase {{Order Number}},cancel_order,have problems with canceling purchase {{order number}},have problems with canceling purchase placeholder,train
i no longer want purchase  {{Order Number}},cancel_order,i no longer want purchase {{order number}},i no longer want purchase placeholder,train
want help to cancel purchase {{Order Number}},cancel_order,want help to cancel purchase {{order number}},want help to cancel purchase placeholder,train
question about canceling order {{Order Number}},cancel_order,question about canceling order {{order number}},question about canceling order placeholder,train
is it possible to cancel purchase {{Order Number}} ?,cancel_order,is it possible to cancel purchase {{order number}} ?,is it possible to cancel purchase placeholder,train
help with canceling purchase {{Order Number}},cancel_order,help with canceling purchase {{order number}},help with canceling purchase placeholder,train
i wan help to cancel purchase {{Order Number}},cancel_order,i wan help to cancel purchase {{order number}},i wan help to cancel purchase placeholder,train
"I have got to cancel purchase {{Order Number}}, how do I do it?",cancel_order,"i have got to cancel purchase {{order number}}, how do i do it?",i have got to cancel purchase placeholder how do i do it,train
i need help with canceling order {{Order Number}},cancel_order,i need help with canceling order {{order number}},i need help with canceling order placeholder,train
cancel purchase {{Order Number}},cancel_order,cancel purchase {{order number}},cancel purchase placeholder,train
assistance with canceling oreder {{Order Number}},cancel_order,assistance with canceling oreder {{order number}},assistance with canceling oreder placeholder,train
problems with cancelling purchase {{Order Number}},cancel_order,problems with cancelling purchase {{order number}},problems with cancelling purchase placeholder,train
is it possible to cancel purchase {{Order Number}},cancel_order,is it possible to cancel purchase {{order number}},is it possible to cancel purchase placeholder,train
can you help me cancelling purchase {{Order Number}}?,cancel_order,can you help me cancelling purchase {{order number}}?,can you help me cancelling purchase placeholder,train
I need help cancelling purchase {{Order Number}},cancel_order,i need help cancelling purchase {{order number}},i need help cancelling purchase placeholder,train
I don't want purchase {{Order Number}},cancel_order,i don't want purchase {{order number}},i don t want purchase placeholder,train
"I bought some items, I need help to cancel purchase {{Order Number}}",cancel_order,"i bought some items, i need help to cancel purchase {{order number}}",i bought some items i need help to cancel purchase placeholder,train
problem with cancelling purchase {{Order Number}},cancel_order,problem with cancelling purchase {{order number}},problem with cancelling purchase placeholder,train
where do i cancel purchase {{Order Number}},cancel_order,where do i cancel purchase {{order number}},where do i cancel purchase placeholder,train
need help with cancelliing order {{Order Number}},cancel_order,need help with cancelliing order {{order number}},need help with cancelliing order placeholder,train
I have problems with canceling purchase {{Order Number}},cancel_order,i have problems with canceling purchase {{order number}},i have problems with canceling purchase placeholder,train
is it possible to cancel order {{Order Number}}?,cancel_order,is it possible to cancel order {{order number}}?,is it possible to cancel order placeholder,train
i havegot to cancel purchase {{Order Number}},cancel_order,i havegot to cancel purchase {{order number}},i havegot to cancel purchase placeholder,train
I don't know how I can cancel purchase {{Order Number}},cancel_order,i don't know how i can cancel purchase {{order number}},i don t know how i can cancel purchase placeholder,train
help cancelling purchase {{Order Number}},cancel_order,help cancelling purchase {{order number}},help cancelling purchase placeholder,train
would you give me information about cancelling orders?,cancel_order,would you give me information about cancelling orders?,would you give me information about cancelling orders,train
I need assistance with canceling purchase {{Order Number}},cancel_order,i need assistance with canceling purchase {{order number}},i need assistance with canceling purchase placeholder,train
"I can't afford my last item, cancel purchase {{Order Number}}",cancel_order,"i can't afford my last item, cancel purchase {{order number}}",i can t afford my last item cancel purchase placeholder,train
I have a problem with canceling purchase {{Order Number}},cancel_order,i have a problem with canceling purchase {{order number}},i have a problem with canceling purchase placeholder,train
question about canceling purchase {{Order Number}},cancel_order,question about canceling purchase {{order number}},question about canceling purchase placeholder,train
"I can't afford order {{Order Number}}, could I cancel it?",cancel_order,"i can't afford order {{order number}}, could i cancel it?",i can t afford order placeholder could i cancel it,train
"I don't want this item, help me cancel purchase {{Order Number}}",cancel_order,"i don't want this item, help me cancel purchase {{order number}}",i don t want this item help me cancel purchase placeholder,train
i need assistance with canceling order {{Order Number}},cancel_order,i need assistance with canceling order {{order number}},i need assistance with canceling order placeholder,train
have a problem with cancelling purchase {{Order Number}},cancel_order,have a problem with cancelling purchase {{order number}},have a problem with cancelling purchase placeholder,train
"I can't afford this product, cancel order {{Order Number}}",cancel_order,"i can't afford this product, cancel order {{order number}}",i can t afford this product cancel order placeholder,train
i try to cancel order {{Order Number}},cancel_order,i try to cancel order {{order number}},i try to cancel order placeholder,train
can you help me cancelling order {{Order Number}}?,cancel_order,can you help me cancelling order {{order number}}?,can you help me cancelling order placeholder,train
what do I ned to do to cancel order {{Order Number}}?,cancel_order,what do i ned to do to cancel order {{order number}}?,what do i ned to do to cancel order placeholder,train
"I have bought some items, help canceling purchase {{Order Number}}",cancel_order,"i have bought some items, help canceling purchase {{order number}}",i have bought some items help canceling purchase placeholder,train
canmcel order {{Order Number}},cancel_order,canmcel order {{order number}},canmcel order placeholder,train
I have problems with cancelling order {{Order Number}},cancel_order,i have problems with cancelling order {{order number}},i have problems with cancelling order placeholder,train
camceling order {{Order Number}},cancel_order,camceling order {{order number}},camceling order placeholder,train
i purchased some fucking item cancel order {{Order Number}},cancel_order,i purchased some fucking item cancel order {{order number}},i purchased some fucking item cancel order placeholder,train
"I have ordered some item, cancel purchase {{Order Number}}",cancel_order,"i have ordered some item, cancel purchase {{order number}}",i have ordered some item cancel purchase placeholder,train
i can no longer pay for purchase {{Order Number}},cancel_order,i can no longer pay for purchase {{order number}},i can no longer pay for purchase placeholder,train
"I do not want this item, cancel order {{Order Number}}",cancel_order,"i do not want this item, cancel order {{order number}}",i do not want this item cancel order placeholder,train
ened help with cancelling purchase {{Order Number}},cancel_order,ened help with cancelling purchase {{order number}},ened help with cancelling purchase placeholder,train
can ya help me cancel purchase {{Order Number}},cancel_order,can ya help me cancel purchase {{order number}},can ya help me cancel purchase placeholder,train
want assistance cancelling purchase {{Order Number}},cancel_order,want assistance cancelling purchase {{order number}},want assistance cancelling purchase placeholder,train
want assistance canceling order {{Order Number}},cancel_order,want assistance canceling order {{order number}},want assistance canceling order placeholder,train
is it possible to cancel purchase {{Order Number}}?,cancel_order,is it possible to cancel purchase {{order number}}?,is it possible to cancel purchase placeholder,train
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,what do i need to do to cancel purchase {{order number}}?,what do i need to do to cancel purchase placeholder,train
i have a problem with cancelling order {{Order Number}},cancel_order,i have a problem with cancelling order {{order number}},i have a problem with cancelling order placeholder,train
i cant pay for order {{Order Number}},cancel_order,i cant pay for order {{order number}},i cant pay for order placeholder,train
canceling purechase {{Order Number}},cancel_order,canceling purechase {{order number}},canceling purechase placeholder,train
I dp not know how to cancel order {{Order Number}},cancel_order,i dp not know how to cancel order {{order number}},i dp not know how to cancel order placeholder,train
what do I need to do to cancel order {{Order Number}}?,cancel_order,what do i need to do to cancel order {{order number}}?,what do i need to do to cancel order placeholder,train
cancel order {{Order Number}},cancel_order,cancel order {{order number}},cancel order placeholder,train
I am trying to cancel order {{Order Number}},cancel_order,i am trying to cancel order {{order number}},i am trying to cancel order placeholder,train
I need help with cancellng order {{Order Number}},cancel_order,i need help with cancellng order {{order number}},i need help with cancellng order placeholder,train
help canceling purchase {{Order Number}},cancel_order,help canceling purchase {{order number}},help canceling purchase placeholder,train
assistance to cancel order {{Order Number}},cancel_order,assistance to cancel order {{order number}},assistance to cancel order placeholder,train
"I don't want this product, cancel purchase {{Order Number}}",cancel_order,"i don't want this product, cancel purchase {{order number}}",i don t want this product cancel purchase placeholder,train
need help canceling purchase {{Order Number}},cancel_order,need help canceling purchase {{order number}},need help canceling purchase placeholder,train
how could I cancel purchase {{Order Number}}?,cancel_order,how could i cancel purchase {{order number}}?,how could i cancel purchase placeholder,train
i want help canceling purchase {{Order Number}},cancel_order,i want help canceling purchase {{order number}},i want help canceling purchase placeholder,train
asistance cancelling purchase {{Order Number}},cancel_order,asistance cancelling purchase {{order number}},asistance cancelling purchase placeholder,train
I do not know what to do tro cancel order {{Order Number}},cancel_order,i do not know what to do tro cancel order {{order number}},i do not know what to do tro cancel order placeholder,train
cancelling purchase {{Order Number}},cancel_order,cancelling purchase {{order number}},cancelling purchase placeholder,train
I don't know how I colud cancel order {{Order Number}},cancel_order,i don't know how i colud cancel order {{order number}},i don t know how i colud cancel order placeholder,train
where can i cancel purchase {{Order Number}},cancel_order,where can i cancel purchase {{order number}},where can i cancel purchase placeholder,train
help me cancel purchase {{Order Number}},cancel_order,help me cancel purchase {{order number}},help me cancel purchase placeholder,train
can you help me cancelong purchase {{Order Number}}?,cancel_order,can you help me cancelong purchase {{order number}}?,can you help me cancelong purchase placeholder,train
I want to cancel order {{Order Number}},cancel_order,i want to cancel order {{order number}},i want to cancel order placeholder,train
"I can't afford order {{Order Number}}, could you cancel it?",cancel_order,"i can't afford order {{order number}}, could you cancel it?",i can t afford order placeholder could you cancel it,train
i want help to cancel order {{Order Number}},cancel_order,i want help to cancel order {{order number}},i want help to cancel order placeholder,train
i want help cancelling order {{Order Number}},cancel_order,i want help cancelling order {{order number}},i want help cancelling order placeholder,train
I do not know how to cancel purchase {{Order Number}},cancel_order,i do not know how to cancel purchase {{order number}},i do not know how to cancel purchase placeholder,train
"I cannot afford my last item, how can I cancel the order?",cancel_order,"i cannot afford my last item, how can i cancel the order?",i cannot afford my last item how can i cancel the order,train
"I don't want this item, cancel order {{Order Number}}",cancel_order,"i don't want this item, cancel order {{order number}}",i don t want this item cancel order placeholder,train
"I do not want this item, I try to cancel order {{Order Number}}",cancel_order,"i do not want this item, i try to cancel order {{order number}}",i do not want this item i try to cancel order placeholder,train
I need help canceling order {{Order Number}},cancel_order,i need help canceling order {{order number}},i need help canceling order placeholder,train
I don't know how to cancel purchase {{Order Number}},cancel_order,i don't know how to cancel purchase {{order number}},i don t know how to cancel purchase placeholder,train
"I do not want my last bloody item, cancel order {{Order Number}}",cancel_order,"i do not want my last bloody item, cancel order {{order number}}",i do not want my last bloody item cancel order placeholder,train
can ya help me to cancel order {{Order Number}},cancel_order,can ya help me to cancel order {{order number}},can ya help me to cancel order placeholder,train
i dont want order {{Order Number}},cancel_order,i dont want order {{order number}},i dont want order placeholder,train
could you help me to cancel purchase {{Order Number}}?,cancel_order,could you help me to cancel purchase {{order number}}?,could you help me to cancel purchase placeholder,train
have problems wth cancelling order {{Order Number}},cancel_order,have problems wth cancelling order {{order number}},have problems wth cancelling order placeholder,train
I need help with cancelling purchase {{Order Number}},cancel_order,i need help with cancelling purchase {{order number}},i need help with cancelling purchase placeholder,train
i dont want this artilce cancel order {{Order Number}},cancel_order,i dont want this artilce cancel order {{order number}},i dont want this artilce cancel order placeholder,train
"I bought some article, help canceling order {{Order Number}}",cancel_order,"i bought some article, help canceling order {{order number}}",i bought some article help canceling order placeholder,train
can you help me cancelling oredr {{Order Number}}?,cancel_order,can you help me cancelling oredr {{order number}}?,can you help me cancelling oredr placeholder,train
help  with cancelling order {{Order Number}},cancel_order,help with cancelling order {{order number}},help with cancelling order placeholder,train
assistance to cancel purchase {{Order Number}},cancel_order,assistance to cancel purchase {{order number}},assistance to cancel purchase placeholder,train
help cancelling my bloody purchase,cancel_order,help cancelling my bloody purchase,help cancelling my bloody purchase,train
canceling order,cancel_order,canceling order,canceling order,train
I want assistance to cancle purchase {{Order Number}},cancel_order,i want assistance to cancle purchase {{order number}},i want assistance to cancle purchase placeholder,train
i do not know how to cancel purchasw {{Order Number}},cancel_order,i do not know how to cancel purchasw {{order number}},i do not know how to cancel purchasw placeholder,train
question about cancelling purchase {{Order Number}},cancel_order,question about cancelling purchase {{order number}},question about cancelling purchase placeholder,train
i dont want purchase {{Order Number}} could i cancel it,cancel_order,i dont want purchase {{order number}} could i cancel it,i dont want purchase placeholder could i cancel it,train
i obught some item help me canceling order {{Order Number}},cancel_order,i obught some item help me canceling order {{order number}},i obught some item help me canceling order placeholder,train
I'm trying to cancel purchase {{Order Number}},cancel_order,i'm trying to cancel purchase {{order number}},i m trying to cancel purchase placeholder,train
i dont khow how to cancel order {{Order Number}},cancel_order,i dont khow how to cancel order {{order number}},i dont khow how to cancel order placeholder,train
how can I cancel purchase {{Order Number}}?,cancel_order,how can i cancel purchase {{order number}}?,how can i cancel purchase placeholder,train
I have got to cancel purcahse {{Order Number}},cancel_order,i have got to cancel purcahse {{order number}},i have got to cancel purcahse placeholder,train
I need help cancelling oredr {{Order Number}},cancel_order,i need help cancelling oredr {{order number}},i need help cancelling oredr placeholder,train
I need help to cancel order {{Order Number}},cancel_order,i need help to cancel order {{order number}},i need help to cancel order placeholder,train
I no longerr want purchase {{Order Number}},cancel_order,i no longerr want purchase {{order number}},i no longerr want purchase placeholder,train
assistance with cancelling purchase {{Order Number}},cancel_order,assistance with cancelling purchase {{order number}},assistance with cancelling purchase placeholder,train
problem witth cancelling order {{Order Number}},cancel_order,problem witth cancelling order {{order number}},problem witth cancelling order placeholder,train
I need assistance with cancelling order {{Order Number}},cancel_order,i need assistance with cancelling order {{order number}},i need assistance with cancelling order placeholder,train
I need assistance cancelling purcjase {{Order Number}},cancel_order,i need assistance cancelling purcjase {{order number}},i need assistance cancelling purcjase placeholder,train
what do i need to do to cancel order {{Order Number}},cancel_order,what do i need to do to cancel order {{order number}},what do i need to do to cancel order placeholder,train
I can't pay for purchase {{Order Number}},cancel_order,i can't pay for purchase {{order number}},i can t pay for purchase placeholder,train
I do not want purchase {{Order Number}},cancel_order,i do not want purchase {{order number}},i do not want purchase placeholder,train
cancel purchase732201349959,cancel_order,cancel purchase732201349959,cancel purchase number,train
want assistance cancelling order {{Order Number}},cancel_order,want assistance cancelling order {{order number}},want assistance cancelling order placeholder,train
"I can't pay for purchase {{Order Number}}, how can I cancel it?",cancel_order,"i can't pay for purchase {{order number}}, how can i cancel it?",i can t pay for purchase placeholder how can i cancel it,train
want assistance canceling purchase {{Order Number}},cancel_order,want assistance canceling purchase {{order number}},want assistance canceling purchase placeholder,train
i dont want ordr {{Order Number}} could uhelp me cancel it,cancel_order,i dont want ordr {{order number}} could uhelp me cancel it,i dont want ordr placeholder could uhelp me cancel it,train
where can I cancel purchase {{Order Number}}?,cancel_order,where can i cancel purchase {{order number}}?,where can i cancel purchase placeholder,train
i can no longer pay fororder {{Order Number}} cancel it,cancel_order,i can no longer pay fororder {{order number}} cancel it,i can no longer pay fororder placeholder cancel it,train
I don't knowhow to cancel purchase {{Order Number}},cancel_order,i don't knowhow to cancel purchase {{order number}},i don t knowhow to cancel purchase placeholder,train
I don't know what to do to cancel purchase {{Order Number}},cancel_order,i don't know what to do to cancel purchase {{order number}},i don t know what to do to cancel purchase placeholder,train
"I can't pay for this item, cancel order {{Order Number}}",cancel_order,"i can't pay for this item, cancel order {{order number}}",i can t pay for this item cancel order placeholder,train
want asistance canceling order {{Order Number}},cancel_order,want asistance canceling order {{order number}},want asistance canceling order placeholder,train
i need assiostance cancelling order {{Order Number}},cancel_order,i need assiostance cancelling order {{order number}},i need assiostance cancelling order placeholder,train
I am trying to cancel purchaes {{Order Number}},cancel_order,i am trying to cancel purchaes {{order number}},i am trying to cancel purchaes placeholder,train
ohw to cancel order {{Order Number}},cancel_order,ohw to cancel order {{order number}},ohw to cancel order placeholder,train
is it possible to cxancel order {{Order Number}},cancel_order,is it possible to cxancel order {{order number}},is it possible to cxancel order placeholder,train
where do I cancel purchase {{Order Number}}?,cancel_order,where do i cancel purchase {{order number}}?,where do i cancel purchase placeholder,train
I have an question about cancelling order {{Order Number}},cancel_order,i have an question about cancelling order {{order number}},i have an question about cancelling order placeholder,train
help me to cancel order  {{Order Number}},cancel_order,help me to cancel order {{order number}},help me to cancel order placeholder,train
i do not know what to do to cancel order {{Order Number}},cancel_order,i do not know what to do to cancel order {{order number}},i do not know what to do to cancel order placeholder,train
"I no longer want order {{Order Number}}, how do I cancel it?",cancel_order,"i no longer want order {{order number}}, how do i cancel it?",i no longer want order placeholder how do i cancel it,train
I cannot afford purchase {{Order Number}},cancel_order,i cannot afford purchase {{order number}},i cannot afford purchase placeholder,train
"I purchased some items, I want to cancel order {{Order Number}}",cancel_order,"i purchased some items, i want to cancel order {{order number}}",i purchased some items i want to cancel order placeholder,train
I have a question about canceling purchase {{Order Number}},cancel_order,i have a question about canceling purchase {{order number}},i have a question about canceling purchase placeholder,train
i do not know how i could casncel order {{Order Number}},cancel_order,i do not know how i could casncel order {{order number}},i do not know how i could casncel order placeholder,train
i dont want order {{Order Number}} could i cancel it,cancel_order,i dont want order {{order number}} could i cancel it,i dont want order placeholder could i cancel it,train
"I doln't want order {{Order Number}}, can you cancel it?",cancel_order,"i doln't want order {{order number}}, can you cancel it?",i doln t want order placeholder can you cancel it,train
i bought something i wanna cancel order {{Order Number}},cancel_order,i bought something i wanna cancel order {{order number}},i bought something i wanna cancel order placeholder,train
how to cancel purchase {{Order Number}}?,cancel_order,how to cancel purchase {{order number}}?,how to cancel purchase placeholder,train
i bought somegoddamn item how do i cancel order {{Order Number}},cancel_order,i bought somegoddamn item how do i cancel order {{order number}},i bought somegoddamn item how do i cancel order placeholder,train
"I bought some product, I want to cancel order {{Order Number}}",cancel_order,"i bought some product, i want to cancel order {{order number}}",i bought some product i want to cancel order placeholder,train
need assistance with canceling order {{Order Number}},cancel_order,need assistance with canceling order {{order number}},need assistance with canceling order placeholder,train
"I have to cancel purchase {{Order Number}}, can I get some help?",cancel_order,"i have to cancel purchase {{order number}}, can i get some help?",i have to cancel purchase placeholder can i get some help,train
help cancelling order {{Order Number}},cancel_order,help cancelling order {{order number}},help cancelling order placeholder,train
icannot afford order {{Order Number}} could i cancel it,cancel_order,icannot afford order {{order number}} could i cancel it,icannot afford order placeholder could i cancel it,train
need help cancelling purchase {{Order Number}},cancel_order,need help cancelling purchase {{order number}},need help cancelling purchase placeholder,train
i cannot pay for puchase {{Order Number}} how could i cancel it,cancel_order,i cannot pay for puchase {{order number}} how could i cancel it,i cannot pay for puchase placeholder how could i cancel it,train
how can I cancel order {{Order Number}}?,cancel_order,how can i cancel order {{order number}}?,how can i cancel order placeholder,train
"I purchased some articles, cancel order {{Order Number}}",cancel_order,"i purchased some articles, cancel order {{order number}}",i purchased some articles cancel order placeholder,train
i nee help to cancel order {{Order Number}},cancel_order,i nee help to cancel order {{order number}},i nee help to cancel order placeholder,train
I don't know what to do to cancel order {{Order Number}},cancel_order,i don't know what to do to cancel order {{order number}},i don t know what to do to cancel order placeholder,train
can uhelp me cancelliung order {{Order Number}},cancel_order,can uhelp me cancelliung order {{order number}},can uhelp me cancelliung order placeholder,train
problems with cnceling purchase {{Order Number}},cancel_order,problems with cnceling purchase {{order number}},problems with cnceling purchase placeholder,train
i purchased something how to cancel order {{Order Number}},cancel_order,i purchased something how to cancel order {{order number}},i purchased something how to cancel order placeholder,train
